datetime,raw,interp_time,interp_time_ffill_bfill
2024-08-26 00:00:00,39.2,39.2,39.2
2024-08-26 01:00:00,40.8,40.8,40.8
2024-08-26 02:00:00,48.1,48.1,48.1
2024-08-26 03:00:00,52.7,52.7,52.7
2024-08-26 04:00:00,42.6,42.6,42.6
2024-08-26 05:00:00,40.2,40.2,40.2
2024-08-26 06:00:00,40.8,40.8,40.8
2024-08-26 07:00:00,48.6,48.6,48.6
2024-08-26 08:00:00,63.2,63.2,63.2
2024-08-26 09:00:00,57.1,57.1,57.1
2024-08-26 10:00:00,31.4,31.4,31.4
2024-08-26 11:00:00,30.3,30.3,30.3
2024-08-26 12:00:00,27.7,27.7,27.7
2024-08-26 13:00:00,32.1,32.1,32.1
2024-08-26 14:00:00,36.4,36.4,36.4
2024-08-26 15:00:00,33.5,33.5,33.5
2024-08-26 16:00:00,31.7,31.7,31.7
2024-08-26 17:00:00,33.7,33.7,33.7
2024-08-26 18:00:00,35.1,35.1,35.1
2024-08-26 19:00:00,38.4,38.4,38.4
2024-08-26 20:00:00,38.5,38.5,38.5
2024-08-26 21:00:00,36.8,36.8,36.8
2024-08-26 22:00:00,32.9,32.9,32.9
2024-08-26 23:00:00,35.1,35.1,35.1
2024-08-27 00:00:00,40.9,40.9,40.9
2024-08-27 01:00:00,40.3,40.3,40.3
2024-08-27 02:00:00,50.9,50.9,50.9
2024-08-27 03:00:00,57.5,57.5,57.5
2024-08-27 04:00:00,42.2,42.2,42.2
2024-08-27 05:00:00,32.2,32.2,32.2
2024-08-27 06:00:00,29.9,29.9,29.9
2024-08-27 07:00:00,27.7,27.7,27.7
2024-08-27 08:00:00,25.0,25.0,25.0
2024-08-27 09:00:00,24.8,24.8,24.8
2024-08-27 10:00:00,21.9,21.9,21.9
2024-08-27 11:00:00,16.6,16.6,16.6
2024-08-27 12:00:00,21.5,21.5,21.5
2024-08-27 13:00:00,27.6,27.6,27.6
2024-08-27 14:00:00,27.4,27.4,27.4
2024-08-27 15:00:00,27.9,27.9,27.9
2024-08-27 16:00:00,28.2,28.2,28.2
2024-08-27 17:00:00,25.1,25.1,25.1
2024-08-27 18:00:00,23.8,23.8,23.8
2024-08-27 19:00:00,24.8,24.8,24.8
2024-08-27 20:00:00,26.3,26.3,26.3
2024-08-27 21:00:00,29.4,29.4,29.4
2024-08-27 22:00:00,27.4,27.4,27.4
2024-08-27 23:00:00,27.4,27.4,27.4
2024-08-28 00:00:00,28.7,28.7,28.7
2024-08-28 01:00:00,30.6,30.6,30.6
2024-08-28 02:00:00,25.0,25.0,25.0
2024-08-28 03:00:00,20.3,20.3,20.3
2024-08-28 04:00:00,18.4,18.4,18.4
2024-08-28 05:00:00,11.5,11.5,11.5
2024-08-28 06:00:00,9.8,9.8,9.8
2024-08-28 07:00:00,15.5,15.5,15.5
2024-08-28 08:00:00,16.9,16.9,16.9
2024-08-28 09:00:00,26.8,26.8,26.8
2024-08-28 10:00:00,29.9,29.9,29.9
2024-08-28 11:00:00,17.8,17.8,17.8
2024-08-28 12:00:00,18.0,18.0,18.0
2024-08-28 13:00:00,18.4,18.4,18.4
2024-08-28 14:00:00,20.3,20.3,20.3
2024-08-28 15:00:00,21.4,21.4,21.4
2024-08-28 16:00:00,19.0,19.0,19.0
2024-08-28 17:00:00,21.1,21.1,21.1
2024-08-28 18:00:00,26.2,26.2,26.2
2024-08-28 19:00:00,37.0,37.0,37.0
2024-08-28 20:00:00,36.1,36.1,36.1
2024-08-28 21:00:00,30.2,30.2,30.2
2024-08-28 22:00:00,26.5,26.5,26.5
2024-08-28 23:00:00,19.1,19.1,19.1
2024-08-29 00:00:00,16.8,16.8,16.8
2024-08-29 01:00:00,20.7,20.7,20.7
2024-08-29 02:00:00,18.2,18.2,18.2
2024-08-29 03:00:00,15.1,15.1,15.1
2024-08-29 04:00:00,14.5,14.5,14.5
2024-08-29 05:00:00,14.3,14.3,14.3
2024-08-29 06:00:00,16.4,16.4,16.4
2024-08-29 07:00:00,15.8,15.8,15.8
2024-08-29 08:00:00,17.4,17.4,17.4
2024-08-29 09:00:00,15.4,15.4,15.4
2024-08-29 10:00:00,15.6,15.6,15.6
