datetime,original,filled_full,flag
2024-08-26 00:00:00,4.2,4.2,0
2024-08-26 01:00:00,4.0,4.0,0
2024-08-26 02:00:00,4.1,4.1,0
2024-08-26 03:00:00,3.9,3.9,0
2024-08-26 04:00:00,4.2,4.2,0
2024-08-26 05:00:00,4.1,4.1,0
2024-08-26 06:00:00,4.2,4.2,0
2024-08-26 07:00:00,3.7,3.7,0
2024-08-26 08:00:00,3.9,3.9,0
2024-08-26 09:00:00,3.8,3.8,0
2024-08-26 10:00:00,5.2,5.2,0
2024-08-26 11:00:00,8.2,8.2,0
2024-08-26 12:00:00,7.0,7.0,0
2024-08-26 13:00:00,11.2,11.2,0
2024-08-26 14:00:00,14.9,14.9,0
2024-08-26 15:00:00,8.3,8.3,0
2024-08-26 16:00:00,6.8,6.8,0
2024-08-26 17:00:00,5.9,5.9,0
2024-08-26 18:00:00,6.3,6.3,0
2024-08-26 19:00:00,6.1,6.1,0
2024-08-26 20:00:00,5.7,5.7,0
2024-08-26 21:00:00,5.7,5.7,0
2024-08-26 22:00:00,6.8,6.8,0
2024-08-26 23:00:00,7.1,7.1,0
2024-08-27 00:00:00,5.3,5.3,0
2024-08-27 01:00:00,4.4,4.4,0
2024-08-27 02:00:00,4.3,4.3,0
2024-08-27 03:00:00,4.2,4.2,0
2024-08-27 04:00:00,4.6,4.6,0
2024-08-27 05:00:00,4.5,4.5,0
2024-08-27 06:00:00,4.1,4.1,0
2024-08-27 07:00:00,3.8,3.8,0
2024-08-27 08:00:00,3.9,3.9,0
2024-08-27 09:00:00,3.8,3.8,1
2024-08-27 10:00:00,3.9,3.9,0
2024-08-27 11:00:00,4.2,4.2,0
2024-08-27 12:00:00,4.4,4.4,0
2024-08-27 13:00:00,4.5,4.5,0
2024-08-27 14:00:00,5.8,5.8,0
2024-08-27 15:00:00,5.8,5.8,0
2024-08-27 16:00:00,6.0,6.0,1
2024-08-27 17:00:00,5.9,5.9,1
2024-08-27 18:00:00,5.3,5.3,0
2024-08-27 19:00:00,4.5,4.5,0
2024-08-27 20:00:00,4.1,4.1,0
2024-08-27 21:00:00,3.8,3.8,0
2024-08-27 22:00:00,3.8,3.8,0
2024-08-27 23:00:00,4.3,4.3,0
2024-08-28 00:00:00,3.9,3.9,0
2024-08-28 01:00:00,3.9,3.9,0
2024-08-28 02:00:00,4.0,4.0,0
2024-08-28 03:00:00,4.7,4.7,0
2024-08-28 04:00:00,4.9,4.9,0
2024-08-28 05:00:00,5.0,5.0,0
2024-08-28 06:00:00,4.6,4.6,0
2024-08-28 07:00:00,4.1,4.1,0
2024-08-28 08:00:00,3.8,3.8,0
2024-08-28 09:00:00,3.9,3.9,1
2024-08-28 10:00:00,3.7,3.7,1
2024-08-28 11:00:00,4.1,4.1,0
2024-08-28 12:00:00,4.2,4.2,0
2024-08-28 13:00:00,4.8,4.8,0
2024-08-28 14:00:00,5.1,5.1,0
2024-08-28 15:00:00,7.2,7.2,1
2024-08-28 16:00:00,6.8,6.8,0
2024-08-28 17:00:00,7.9,7.9,0
2024-08-28 18:00:00,6.5,6.5,0
2024-08-28 19:00:00,5.1,5.1,0
2024-08-28 20:00:00,4.6,4.6,0
2024-08-28 21:00:00,5.2,5.2,0
2024-08-28 22:00:00,6.5,6.5,0
2024-08-28 23:00:00,6.3,6.3,0
2024-08-29 00:00:00,6.5,6.5,0
2024-08-29 01:00:00,5.9,5.9,0
2024-08-29 02:00:00,5.7,5.7,0
