datetime,original,filled_full,flag
2024-08-26 00:00:00,35.7,35.7,0
2024-08-26 01:00:00,31.1,31.1,0
2024-08-26 02:00:00,33.7,33.7,0
2024-08-26 03:00:00,39.3,39.3,0
2024-08-26 04:00:00,34.4,34.4,0
2024-08-26 05:00:00,32.4,32.4,0
2024-08-26 06:00:00,27.6,27.6,0
2024-08-26 07:00:00,38.8,38.8,0
2024-08-26 08:00:00,42.0,42.0,0
2024-08-26 09:00:00,40.1,40.1,0
2024-08-26 10:00:00,25.2,25.2,0
2024-08-26 11:00:00,26.8,26.8,0
2024-08-26 12:00:00,22.5,22.5,0
2024-08-26 13:00:00,28.4,28.4,0
2024-08-26 14:00:00,27.9,27.9,0
2024-08-26 15:00:00,25.8,25.8,0
2024-08-26 16:00:00,25.3,25.3,0
2024-08-26 17:00:00,26.5,26.5,0
2024-08-26 18:00:00,32.3,32.3,0
2024-08-26 19:00:00,38.2,38.2,0
2024-08-26 20:00:00,39.6,39.6,0
2024-08-26 21:00:00,36.4,36.4,0
2024-08-26 22:00:00,31.7,31.7,0
2024-08-26 23:00:00,33.2,33.2,0
2024-08-27 00:00:00,39.7,39.7,0
2024-08-27 01:00:00,38.0,38.0,0
2024-08-27 02:00:00,43.3,43.3,0
2024-08-27 03:00:00,33.5,33.5,0
2024-08-27 04:00:00,25.0,25.0,0
2024-08-27 05:00:00,22.5,22.5,1
2024-08-27 06:00:00,24.7,24.7,0
2024-08-27 07:00:00,24.1,24.1,0
2024-08-27 08:00:00,23.1,23.1,0
2024-08-27 09:00:00,23.8,23.8,0
2024-08-27 10:00:00,20.4,20.4,0
2024-08-27 11:00:00,13.6,13.6,0
2024-08-27 12:00:00,20.5,20.5,0
2024-08-27 13:00:00,23.8,23.8,0
2024-08-27 14:00:00,23.7,23.7,1
2024-08-27 15:00:00,20.2,20.2,0
2024-08-27 16:00:00,19.8,19.8,0
2024-08-27 17:00:00,19.8,19.8,0
2024-08-27 18:00:00,18.2,18.2,1
2024-08-27 19:00:00,19.2,19.2,1
2024-08-27 20:00:00,22.6,22.6,0
2024-08-27 21:00:00,25.8,25.8,0
2024-08-27 22:00:00,26.9,26.9,0
2024-08-27 23:00:00,26.7,26.7,0
2024-08-28 00:00:00,29.5,29.5,1
2024-08-28 01:00:00,29.8,29.8,1
2024-08-28 02:00:00,23.4,23.4,0
2024-08-28 03:00:00,15.7,15.7,0
2024-08-28 04:00:00,13.7,13.7,0
2024-08-28 05:00:00,10.6,10.6,1
2024-08-28 06:00:00,10.3,10.3,1
2024-08-28 07:00:00,9.9,9.9,0
2024-08-28 08:00:00,13.1,13.1,0
2024-08-28 09:00:00,18.7,18.7,0
2024-08-28 10:00:00,23.9,23.9,1
2024-08-28 11:00:00,19.0,19.0,0
2024-08-28 12:00:00,19.1,19.1,0
2024-08-28 13:00:00,18.0,18.0,0
2024-08-28 14:00:00,21.4,21.4,0
2024-08-28 15:00:00,20.4,20.4,0
2024-08-28 16:00:00,15.7,15.7,0
